time_s,target_x_mm,target_y_mm,target_z_mm,achieved_x_mm,achieved_y_mm,achieved_z_mm,position_error_mm,J1_deg,J2_deg,J3_deg,J4_deg,J5_deg,J6_deg,J1_us,J2_us,J3_us,J4_us,J5_us,J6_us
3.2,399.770391786888,74.6715426444051,201.755705045849,399.770391786888,74.6715426444051,201.75570504585,5.6843418860808e-14,10.5801345412645,79.5912192008828,-117.254857168321,37.6636379674382,0,0,1368.37136697233,2189.56458667321,2348.55449754312,1788.98991086991,1610,1540
3.24,399.737893445006,71.3301433196933,201.241667557043,399.737893445006,71.3301433196933,201.241667557043,6.35528743231302e-14,10.1175008013383,79.6310950917449,-117.427954199487,37.7968591077423,0,0,1364.94445038028,2189.85996364256,2349.83669777398,1789.97673413142,1610,1540
3.28,399.717547172776,67.9292791565356,200.71653589958,399.717547172776,67.9292791565356,200.71653589958,5.6843418860808e-14,9.64488230962194,79.6643102044436,-117.595768205123,37.9314580006793,0,0,1361.44357266387,2190.1060015144,2351.07976448239,1790.973762968,1610,1540
3.32,399.707841860625,64.471858653517,200.180828315007,399.707841860625,64.471858653517,200.180828315007,8.16351451723282e-14,9.16274548350668,79.6908152274733,-117.758135732294,38.0673205048211,0,0,1357.87218876672,2190.30233501832,2352.28248690588,1791.98015188756,1610,1540
3.36,399.707309811088,60.9608233882348,199.635073482034,399.707309811088,60.9608233882348,199.635073482034,1.4210854715202e-13,8.67156613383088,79.7105694406953,-117.914897778957,38.2043283382617,0,0,1354.23382321356,2190.44866252367,2353.44368725153,1792.99502472786,1610,1540
3.4,399.714532813593,57.3991468848146,199.079809994791,399.714532813593,57.3991468848146,199.079809994791,5.72857867687912e-14,8.17182899531184,79.7235408656629,-118.065899955472,38.3423590898089,0,0,1350.53206663194,2190.54474715306,2354.56222189238,1794.01747473933,1610,1540
3.44,399.728147958297,53.7898333884787,198.515585831301,399.728147958297,53.7898333884787,198.515585831301,0,7.66402724817131,79.7297063988092,-118.2109926469,38.4812862480906,0,0,1346.77057220868,2190.59041776896,2355.63698256963,1795.04656480067,1610,1540
3.48,399.746853174008,50.1359165447498,197.942957812696,399.746853174008,50.1359165447498,197.942957812696,1.0247593068766e-13,7.14866203142605,79.7290519263982,-118.35003117581,38.620979249412,0,0,1342.95305208464,2190.58556982517,2356.66689759859,1796.08132777342,1610,1540
3.52,399.769412475999,46.4404579821631,197.362491053694,399.769412475999,46.4404579821631,197.362491053694,8.07021414431158e-14,6.62624194832421,79.7215724201885,-118.482875965298,38.7613035451092,0,0,1339.08327369129,2190.53016607547,2357.65093307628,1797.12076700081,1610,1540
3.56,399.794660910442,42.706545798612,196.774758404906,399.794660910442,42.706545798612,196.774758404906,8.03887338846093e-14,6.09728256441524,79.7072720128239,-118.609392701869,38.9021206890448,0,0,1335.16505603271,2190.42423713203,2358.58809408792,1798.16385695589,1610,1540
3.6,399.821509183017,38.9372929526663,196.180339887499,399.821509183017,38.9372929526663,196.180339887499,5.6843418860808e-14,5.56230589874906,79.6861640520364,-118.729452497817,39.043288445781,0,0,1331.20226591666,2190.26788186694,2359.47742590976,1799.20954404282,1610,1540
3.64,399.848947960154,35.1358355623581,195.579822120785,399.848947960154,35.1358355623581,195.579822120785,1.02721971691728e-13,5.02183990870612,79.6582711328348,-118.842932052677,39.1846609198423,0,0,1327.19881413856,2190.06126765063,2360.31801520502,1800.25674755439,1610,1540
3.68,399.876051832238,31.3053311150284,194.973797743297,399.876051832238,31.3053311150284,194.973797743297,2.8421709430404e-14,4.47641796896739,79.6236251069503,-118.949713813306,39.3260887063555,0,0,1323.15865162198,2189.80463042185,2361.10899120967,1801.30436078782,1610,1540
3.72,399.901982929022,27.4489565928613,194.362864827931,399.901982929022,27.4489565928613,194.362864827931,5.69543329542959e-14,3.92657834513776,79.5822670689153,-119.049686132125,39.4674190632094,0,0,1319.08576551954,2189.49827458456,2361.84952690463,1802.35125232007,1610,1540
3.76,399.925994178387,23.5699065196868,193.747626291714,399.925994178387,23.5699065196868,193.747626291715,8.04672002125963e-14,3.37286366254304,79.5342473182736,-119.142743423012,39.6084961047385,0,0,1314.9841752781,2189.14257272795,2362.53884017046,1803.39626744251,1610,1540
3.8,399.947432200497,19.6713909355116,193.128689300805,399.947432200497,19.6713909355116,193.128689300805,6.3652098231049e-14,2.81582037072416,79.4796252975466,-119.228786314324,39.7491610167776,0,0,1310.85792867203,2188.73796516701,2363.17619492092,1804.43822975391,1610,1540
3.84,399.965739830332,15.7566333060298,192.506664671286,399.965739830332,15.7566333060298,192.506664671286,5.68711676634668e-14,2.25599820415748,79.4184695057157,-119.307721798498,39.8892522927819,0,0,1306.71109780857,2188.2849593016,2363.76090221109,1805.4759429095,1610,1540
3.88,399.980458262492,11.8288683750698,191.88216626637,399.980458262492,11.8288683750698,191.88216626637,5.6843418860808e-14,1.69394963973326,79.3508573871267,-119.379463377673,40.028605990546,0,0,1302.54777510914,2187.78412879353,2364.29232131609,1806.50819252256,1610,1540
3.92,399.991228813102,7.89133996853945,191.255810390586,399.991228813102,7.89133996853945,191.255810390586,1.42133524974951e-13,1.13022935152764,79.2768751958706,-119.443931204764,40.1670560088934,0,0,1298.37206927058,2187.236112562,2364.76986077603,1807.53374821403,1610,1540
3.96,399.997794294585,3.94729875894854,190.628215181563,399.997794294585,3.94729875894854,190.628215181563,2.84251786656236e-14,0.565393663406308,79.1966178358507,-119.5010522194,40.3044343835495,0,0,1294.18810121042,2186.64161359889,2365.19297940296,1808.55136580407,1610,1540
